system,complex,target,structure,replicate,method,window_start_ns,window_end_ns,dt_ps,component,delta_total_kcal_mol,sd_prop,sd,sem_prop,sem,analysis_layer,source_file
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,GB,0,100,100,TOTAL,-24.93,0.92,9.11,0.03,0.29,all100_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_all100\mmpbsa_BPA_CSNK1D_5OKT_rep1_gb_w0_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,GB,0,100,100,TOTAL,-25.4,1.1,4.83,0.03,0.15,all100_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_all100\mmpbsa_BPA_CSNK1D_5OKT_rep2_gb_w0_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,0,100,100,TOTAL,-29.76,0.69,9.42,0.02,0.3,all100_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_all100\mmpbsa_BPA_CSNK1D_5OKT_rep3_gb_w0_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,GB,0,100,100,TOTAL,-16.31,38.49,10.42,1.22,0.33,all100_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_all100\mmpbsa_PFOA_CSNK1D_5OKT_rep1_gb_w0_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,GB,0,100,100,TOTAL,-19.6,4.7,3.93,0.15,0.12,all100_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_all100\mmpbsa_PFOA_CSNK1D_5OKT_rep2_gb_w0_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,0,100,100,TOTAL,-19.65,7.51,6.74,0.24,0.21,all100_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_all100\mmpbsa_PFOA_CSNK1D_5OKT_rep3_gb_w0_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,PB,0,100,100,TOTAL,-2.07,4.79,4.86,0.15,0.15,all100_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_all100\mmpbsa_BPA_CSNK1D_5OKT_rep1_pb_w0_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,PB,0,100,100,TOTAL,-2.52,1.4,6.12,0.04,0.19,all100_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_all100\mmpbsa_BPA_CSNK1D_5OKT_rep2_pb_w0_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,PB,0,100,100,TOTAL,-3.92,3.85,6.36,0.12,0.2,all100_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_all100\mmpbsa_BPA_CSNK1D_5OKT_rep3_pb_w0_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,PB,0,100,100,TOTAL,-1.67,38.65,4.32,1.22,0.14,all100_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_all100\mmpbsa_PFOA_CSNK1D_5OKT_rep1_pb_w0_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,PB,0,100,100,TOTAL,-1.55,4.68,4.5,0.15,0.14,all100_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_all100\mmpbsa_PFOA_CSNK1D_5OKT_rep2_pb_w0_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,PB,0,100,100,TOTAL,-0.88,8.99,5.17,0.28,0.16,all100_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_all100\mmpbsa_PFOA_CSNK1D_5OKT_rep3_pb_w0_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,GB,80,100,100,TOTAL,-13.45,6.38,13.29,0.45,0.94,terminal_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_terminal\mmpbsa_BPA_CSNK1D_5OKT_rep1_gb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,GB,80,100,100,TOTAL,-26.9,1.36,3.06,0.1,0.22,terminal_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_terminal\mmpbsa_BPA_CSNK1D_5OKT_rep2_gb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,80,100,100,TOTAL,-27.88,0.96,2.88,0.07,0.2,terminal_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_terminal\mmpbsa_BPA_CSNK1D_5OKT_rep3_gb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,GB,80,100,100,TOTAL,-10.03,36.53,10.97,2.58,0.77,terminal_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_terminal\mmpbsa_PFOA_CSNK1D_5OKT_rep1_gb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,GB,80,100,100,TOTAL,-20.87,3.92,3.52,0.28,0.25,terminal_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_terminal\mmpbsa_PFOA_CSNK1D_5OKT_rep2_gb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,80,100,100,TOTAL,-21.08,4.81,4.64,0.34,0.33,terminal_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_terminal\mmpbsa_PFOA_CSNK1D_5OKT_rep3_gb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,PB,80,100,100,TOTAL,-0.71,13.68,3.2,0.96,0.23,terminal_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_terminal\mmpbsa_BPA_CSNK1D_5OKT_rep1_pb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,PB,80,100,100,TOTAL,-4.66,1.35,3.69,0.1,0.26,terminal_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_terminal\mmpbsa_BPA_CSNK1D_5OKT_rep2_pb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,PB,80,100,100,TOTAL,0.14,0.97,3.69,0.07,0.26,terminal_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_terminal\mmpbsa_BPA_CSNK1D_5OKT_rep3_pb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,PB,80,100,100,TOTAL,-0.39,39.68,2.94,2.8,0.21,terminal_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_terminal\mmpbsa_PFOA_CSNK1D_5OKT_rep1_pb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,PB,80,100,100,TOTAL,-3.26,3.93,4.07,0.28,0.29,terminal_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_terminal\mmpbsa_PFOA_CSNK1D_5OKT_rep2_pb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,PB,80,100,100,TOTAL,-3.18,4.96,4.29,0.35,0.3,terminal_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_terminal\mmpbsa_PFOA_CSNK1D_5OKT_rep3_pb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,GB,0,20,100,TOTAL,-24.07,1.33,4.9,0.09,0.35,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep1_gb_w00_20_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,GB,20,40,100,TOTAL,-29.59,1.06,2.84,0.07,0.2,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep1_gb_w20_40_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,GB,40,60,100,TOTAL,-29.98,1.23,2.78,0.09,0.2,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep1_gb_w40_60_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,GB,60,80,100,TOTAL,-27.62,1.17,3.21,0.08,0.23,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep1_gb_w60_80_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,GB,80,100,100,TOTAL,-13.45,6.38,13.29,0.45,0.94,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep1_gb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,GB,0,20,100,TOTAL,-19.12,0.85,3.6,0.06,0.25,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep2_gb_w00_20_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,GB,20,40,100,TOTAL,-26.22,1.39,4.55,0.1,0.32,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep2_gb_w20_40_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,GB,40,60,100,TOTAL,-26.21,1.03,2.83,0.07,0.2,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep2_gb_w40_60_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,GB,60,80,100,TOTAL,-28.53,1.21,3.53,0.09,0.25,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep2_gb_w60_80_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,GB,80,100,100,TOTAL,-26.9,1.36,3.06,0.1,0.22,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep2_gb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,0,20,100,TOTAL,-30.65,1.61,4.74,0.11,0.33,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep3_gb_w00_20_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,20,40,100,TOTAL,-36.83,0.87,3.12,0.06,0.22,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep3_gb_w20_40_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,40,60,100,TOTAL,-22.73,5.27,16.83,0.37,1.19,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep3_gb_w40_60_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,60,80,100,TOTAL,-30.84,1.11,3.74,0.08,0.26,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep3_gb_w60_80_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,80,100,100,TOTAL,-27.88,0.96,2.88,0.07,0.2,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep3_gb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,GB,0,20,100,TOTAL,-21.75,3.4,3.23,0.24,0.23,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep1_gb_w00_20_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,GB,20,40,100,TOTAL,-18.88,3.9,7.31,0.28,0.52,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep1_gb_w20_40_dt100ps\FINAL_RESULTS_MMPBSA.dat
